content,content_clean,score,sentiment
"kenapa membatalkan pesanan gofood karena tidak dapat driver, harus banget tunggu 1,5 jam? saya pesan jam 21.00, hingga jam 21.30 belum dapat driver. terus baru bisa dibatalin 22.21? logika kalian sampah! ini kan pesen makan ya, masa harus nunggu 1,5 jam tanpa kejelasan dapat driver? iya kalau dapet, kalau ga dapet lagi gimana? saya pernah sabar sampai 3 jam, 2x order, ga dpt driver. KALAU MEMANG GA ADA DRIVER, YAUDAH KASIH WAKTU WAJAR 30 MENIT UNTUK CANCEL. CS KALIAN BOT, GA ADA CONTACT CENTER!!","kenapa membatalkan pesanan gofood karena tidak dapat driver, harus banget tunggu 1,5 jam? saya pesan jam 21.00, hingga jam 21.30 belum dapat driver. terus baru bisa dibatalin 22.21? logika kalian sampah! ini kan pesen makan ya, masa harus nunggu 1,5 jam tanpa kejelasan dapat driver? iya kalau dapet, kalau ga dapet lagi gimana? saya pernah sabar sampai 3 jam, 2x order, ga dpt driver. kalau memang ga ada driver, yaudah kasih waktu wajar 30 menit untuk cancel. cs kalian bot, ga ada contact center!!",1,negative
susah amat cari driver gocar di Sumedang merepotkan,susah amat cari driver gocar di sumedang merepotkan,2,negative
"Minn kenapa ya saya gabisa masuk ke akun saya, gabisa face recognition padahal udah cerah pencerahan nyaa","minn kenapa ya saya gabisa masuk ke akun saya, gabisa face recognition padahal udah cerah pencerahan nyaa",4,positive
"sudah aman sudah bisa pesan, namun entah kenapa jadi lebih lama mendapatkan driver, ditambah kadang drivernya cancel setelah menunggu agak lama","sudah aman sudah bisa pesan, namun entah kenapa jadi lebih lama mendapatkan driver, ditambah kadang drivernya cancel setelah menunggu agak lama",4,positive
Banyak membantu tapi yg bikin emosi dikit² iklan... Bila buka aplikasi lain selalu kluar iklan bikin emosi,banyak membantu tapi yg bikin emosi dikit² iklan... bila buka aplikasi lain selalu kluar iklan bikin emosi,2,negative
tidak. bisa di batalkan setelah 2 jam menunggu,tidak. bisa di batalkan setelah 2 jam menunggu,1,negative
"kenapa setelah pesan makanan jadi ngefreeze, biasanya lanjut sampai pesanan sudah dibuat","kenapa setelah pesan makanan jadi ngefreeze, biasanya lanjut sampai pesanan sudah dibuat",2,negative
"Saran untuk gojek untuk iklannya di buat lebih kreative dan menghibur seperti dahulu kala, jikalau tidak bisa gak usah spam iklan di mana mana, efeknya malah jadi antitesis dan iklannya gak efektif. Lebih baik alihfungsikan ke potongan harga dari pada buat iklan yg kurang efektif.","saran untuk gojek untuk iklannya di buat lebih kreative dan menghibur seperti dahulu kala, jikalau tidak bisa gak usah spam iklan di mana mana, efeknya malah jadi antitesis dan iklannya gak efektif. lebih baik alihfungsikan ke potongan harga dari pada buat iklan yg kurang efektif.",2,negative
Good .... good..... good.....,good .... good..... good.....,5,positive
"ini aplikasi gimana sih masa mesen gocar atau gojek lama banget sekali nya dapat si gojek nya malah diam di tempat ga maju maju mana udah top up gopay banyak biar bisa naik gojek terus malah gini ,pake gojek plus juga diskon cuma 2.500 buang buang duit aja","ini aplikasi gimana sih masa mesen gocar atau gojek lama banget sekali nya dapat si gojek nya malah diam di tempat ga maju maju mana udah top up gopay banyak biar bisa naik gojek terus malah gini ,pake gojek plus juga diskon cuma 2.500 buang buang duit aja",1,negative
Perjalanan kemana saja menjadi lebih mudah dan nyaman,perjalanan kemana saja menjadi lebih mudah dan nyaman,4,positive
untuk pihak gojek tolong dong aktifkan lagi akun saya yg di bekukan,untuk pihak gojek tolong dong aktifkan lagi akun saya yg di bekukan,2,negative
ternyata pake gojek plus jadi tambah mahal untuk goride,ternyata pake gojek plus jadi tambah mahal untuk goride,2,negative
"aplikasi nya pas akses pesan goride, banyak bug nya","aplikasi nya pas akses pesan goride, banyak bug nya",2,negative
Bos transaksi ga masuk saldo kurang,bos transaksi ga masuk saldo kurang,2,negative
Terlalu banyak notifikasi,terlalu banyak notifikasi,2,negative
Harusnya ditambahkan opsi kirim pesan saja bagi penerima pada gosend,harusnya ditambahkan opsi kirim pesan saja bagi penerima pada gosend,4,positive
"2 hari ini dibikin eneg sama gocar,,, klo gak niat nge gocar gausah jd driver,,, saya bawa anak kecil lg hujan mau ke daycare pasti butuh gocar,,, tp dialihkan alihkan mulu sampe 1 jam itu,,, kecewa bgt si,,, pdhl kita bayar loh gak ngemis,,, tolonglah pelayanannya,,, atau basmi aja gocar2 yg modelan gitu,,,","2 hari ini dibikin eneg sama gocar,,, klo gak niat nge gocar gausah jd driver,,, saya bawa anak kecil lg hujan mau ke daycare pasti butuh gocar,,, tp dialihkan alihkan mulu sampe 1 jam itu,,, kecewa bgt si,,, pdhl kita bayar loh gak ngemis,,, tolonglah pelayanannya,,, atau basmi aja gocar2 yg modelan gitu,,,",2,negative
bagus recommended,bagus recommended,5,positive
"harusnya kalau gak ada driver, orderan jangan di terima! ini malah gak jelas 2 kali order nunggu berjam jam ujung2nya harus di cancel. buang2 waktu","harusnya kalau gak ada driver, orderan jangan di terima! ini malah gak jelas 2 kali order nunggu berjam jam ujung2nya harus di cancel. buang2 waktu",1,negative
"kadang kalo pesan gofood lama bgt kita pesen jam 8 malem di antar jam 11 malem, semoga bs lbh di cepatin ya","kadang kalo pesan gofood lama bgt kita pesen jam 8 malem di antar jam 11 malem, semoga bs lbh di cepatin ya",4,positive
tolong nama motor drive di sebutkan di keterangan seperti dulu kadang keliru gojek nya!,tolong nama motor drive di sebutkan di keterangan seperti dulu kadang keliru gojek nya!,4,positive
Karena selalu sering di apdet,karena selalu sering di apdet,4,positive
"Mau pesen malah keluar pop up gopay later sama may bank padahal udah ga mau masih muncul aja, hadeh 🤦🏻‍♀️","mau pesen malah keluar pop up gopay later sama may bank padahal udah ga mau masih muncul aja, hadeh 🤦🏻‍♀️",2,negative
Alhamdulillah selalu puas,alhamdulillah selalu puas,5,positive
"saya pesen makanan lama banget, padahal cuman nasi pecel. yang awal nya di kirim 08.14, malah molor sampek jam 08.26","saya pesen makanan lama banget, padahal cuman nasi pecel. yang awal nya di kirim 08.14, malah molor sampek jam 08.26",1,negative
kadang lalod sih,kadang lalod sih,4,positive
"map kurang akurat , jadi titik jemput sering keliru","map kurang akurat , jadi titik jemput sering keliru",4,positive
"cman kadang"" sya gak dpat driver untuk gofood nya ap lagi pas jm 8 mlam keatas","cman kadang"" sya gak dpat driver untuk gofood nya ap lagi pas jm 8 mlam keatas",4,positive
"gojek tarif murah,driver cepat,ramah,aman jd andalan buat saya,terimaksih slu pada aplikasi gojek mempermudah transportasi masyarakat,sukse selalu","gojek tarif murah,driver cepat,ramah,aman jd andalan buat saya,terimaksih slu pada aplikasi gojek mempermudah transportasi masyarakat,sukse selalu",5,positive
"Reminder + Kritik dikit aja nih, bukannya ga bersyukur, tapi masa ngasih diskon goride Rp.500? Niat atau engga nih ngasih diskon? Atau emang harganya segitu trus gimmik diskon Rp.500? Besok jadi Rp.100 aja sekalian, lama lama Rp.1. Thanks.","reminder + kritik dikit aja nih, bukannya ga bersyukur, tapi masa ngasih diskon goride rp.500? niat atau engga nih ngasih diskon? atau emang harganya segitu trus gimmik diskon rp.500? besok jadi rp.100 aja sekalian, lama lama rp.1. thanks.",2,negative
sangat membantu bagi yang belum bisa beli montor,sangat membantu bagi yang belum bisa beli montor,5,positive
Mengecewakan,mengecewakan,1,negative
"Mantap banyak promo, sayangnya skrang dapat driver lama walaupun order makanan cepat saji lama nunggu driver","mantap banyak promo, sayangnya skrang dapat driver lama walaupun order makanan cepat saji lama nunggu driver",4,positive
trima ksih dgn hadirnya mitra gojek cukup bnyk membantu aktifitas saya pribadi dlm hal transaksi dn jg transportasi,trima ksih dgn hadirnya mitra gojek cukup bnyk membantu aktifitas saya pribadi dlm hal transaksi dn jg transportasi,4,positive
di cancel trs apa ini,di cancel trs apa ini,1,negative
DI TEGASKAN kepada aplicator gojek indonesia tolong kembalikan lagi potongan yg 20℅ untuk para driver ojol dan GO-CAR jangan ada lgi potongan2 yg lain nya jangan beban kan mereka kasihan mereka mereka udah susah di jalan serta keselamatan mereka di jalan mereka butuhkan kesejahteraan untuk biaya hidup anak2 dan istrinya mereka dan uang sekolah anak2 mereka serta pembayaran buat biaya sewa kendaraan mereka dan kontrakan rumah yg mereka sewa sekali lagi jangan bikin mereka susah ya,di tegaskan kepada aplicator gojek indonesia tolong kembalikan lagi potongan yg 20℅ untuk para driver ojol dan go-car jangan ada lgi potongan2 yg lain nya jangan beban kan mereka kasihan mereka mereka udah susah di jalan serta keselamatan mereka di jalan mereka butuhkan kesejahteraan untuk biaya hidup anak2 dan istrinya mereka dan uang sekolah anak2 mereka serta pembayaran buat biaya sewa kendaraan mereka dan kontrakan rumah yg mereka sewa sekali lagi jangan bikin mereka susah ya,2,negative
"Bagus sih, tapi udah 1 tahun ini gak pernah dapat potongan harga","bagus sih, tapi udah 1 tahun ini gak pernah dapat potongan harga",2,negative
kok aplikasi gocar goride rada membingungkan skrng,kok aplikasi gocar goride rada membingungkan skrng,4,positive
Kok lama yacopsionalnya tolong cepat tks,kok lama yacopsionalnya tolong cepat tks,2,negative
tidak bisa membatalkan pesanan padahal sudah di jelasakan kalau toko tutup,tidak bisa membatalkan pesanan padahal sudah di jelasakan kalau toko tutup,1,negative
Kecewa sekali masa ia klo edit tujuan hargax naik 2 kali lipat gilaaaa,kecewa sekali masa ia klo edit tujuan hargax naik 2 kali lipat gilaaaa,4,positive
masa driver nunggu 15 menit baru bisa batalin orderan. habis waktu terbuang tau kalian.!!,masa driver nunggu 15 menit baru bisa batalin orderan. habis waktu terbuang tau kalian.!!,1,negative
"jelek banget!!! driver gocar gak jelas! udah pesan dan batalin booking sampai 3 kali. posisi driver gak gerak². sudah di chat juga driver-nya berkali-kali, gak ada dibalas. dilihat di map padahal lokasinya dekat banget! drivernya pemalas apa gimana gak tau! kita customer udah nunggu lama banget! gak ada respon sm sekali!","jelek banget!!! driver gocar gak jelas! udah pesan dan batalin booking sampai 3 kali. posisi driver gak gerak². sudah di chat juga driver-nya berkali-kali, gak ada dibalas. dilihat di map padahal lokasinya dekat banget! drivernya pemalas apa gimana gak tau! kita customer udah nunggu lama banget! gak ada respon sm sekali!",1,negative
"gabisa update, tolonglah... apa kali kek ginii padahal sinyal bagus, bilangnya masalah masalah muluu","gabisa update, tolonglah... apa kali kek ginii padahal sinyal bagus, bilangnya masalah masalah muluu",2,negative
aplikasi sudah bagus rekomend,aplikasi sudah bagus rekomend,4,positive
ketepatan waktu jemput oke,ketepatan waktu jemput oke,5,positive
gofood sekarang sering kali TELAT LAMA dan Sering Cancel pesanan. Tolong Sistemnya diperbaiki. kok makin lama makin Mundur pelayanannya.,gofood sekarang sering kali telat lama dan sering cancel pesanan. tolong sistemnya diperbaiki. kok makin lama makin mundur pelayanannya.,1,negative
pesan makanan lama banget gara gara gojeknya doang ga dapet²,pesan makanan lama banget gara gara gojeknya doang ga dapet²,1,negative
"saya punya pengalaman naik gocar yang kurang mengenakan. ketika kami memakai promo hemat yang sudah aplikasi sediakan, malah kami yang di remehkan oleh oknum driver gocar, bahkan sampai menghina kami yang memakai promo hemat tsb. pdhl customer tidak tau menau soal harga . tapi customer yang malah d salahkan. semoga bisa lebih d perbaiki. terutama oknum driver spt itu sangat menggangu dan bikin kesal selama di perjalanan","saya punya pengalaman naik gocar yang kurang mengenakan. ketika kami memakai promo hemat yang sudah aplikasi sediakan, malah kami yang di remehkan oleh oknum driver gocar, bahkan sampai menghina kami yang memakai promo hemat tsb. pdhl customer tidak tau menau soal harga . tapi customer yang malah d salahkan. semoga bisa lebih d perbaiki. terutama oknum driver spt itu sangat menggangu dan bikin kesal selama di perjalanan",2,negative
"males banget tiap lagi urgent/ buru mau pergi pasti dari pihak drivernya gak mau nerima orderan, apalagi kalo pas hujan bayak alesannya","males banget tiap lagi urgent/ buru mau pergi pasti dari pihak drivernya gak mau nerima orderan, apalagi kalo pas hujan bayak alesannya",2,negative
Driver ramah,driver ramah,5,positive
terkadang ada beberapa lokasi yg tidak ada di map,terkadang ada beberapa lokasi yg tidak ada di map,4,positive
sangat membantu memudahkan dalam kegiatan transportasi,sangat membantu memudahkan dalam kegiatan transportasi,4,positive
"setiap pembelanjaan express gak pernah tepat waktu atau lebih cepat, selalu telat, percuma bayar lebih biar cepet tapi hasilnya lebih buruk dari ekonomis","setiap pembelanjaan express gak pernah tepat waktu atau lebih cepat, selalu telat, percuma bayar lebih biar cepet tapi hasilnya lebih buruk dari ekonomis",1,negative
Susah baget dapt driver apa pada ga butuh uang lagi ya ni para driver,susah baget dapt driver apa pada ga butuh uang lagi ya ni para driver,2,negative
Sangat membantu,sangat membantu,4,positive
cocok dengan karakter saya,cocok dengan karakter saya,5,positive
Kebanyakan iklan yg gK berfaedah tlg ya kondisikan penempatan iklan nya,kebanyakan iklan yg gk berfaedah tlg ya kondisikan penempatan iklan nya,2,negative
"aplikasinya wort it, drivernya ramah dan tepat waktu","aplikasinya wort it, drivernya ramah dan tepat waktu",5,positive
Ini apaaan2 ya? Kenapa minimal pembelian di solo jadi 40k untuk gofood. Tadinya 30k aja besar bgt utk org wilayah jawa tengah... LANGGANAN BIKIN RUGI !! 40k emang harus gofood makan besar sekeluarga ya? Dikira org gofood mau makan besar satu RT ya? Dikira harga makanan semua wilayah sama mahalnya dgn jakarta kali ya mikirnya... mending pindah deh ke grabfood/shopeefood. Kebijakannya utk langganan bulanan lebih masuk akal kyknya utk customer 👎👎👎👎,ini apaaan2 ya? kenapa minimal pembelian di solo jadi 40k untuk gofood. tadinya 30k aja besar bgt utk org wilayah jawa tengah... langganan bikin rugi !! 40k emang harus gofood makan besar sekeluarga ya? dikira org gofood mau makan besar satu rt ya? dikira harga makanan semua wilayah sama mahalnya dgn jakarta kali ya mikirnya... mending pindah deh ke grabfood/shopeefood. kebijakannya utk langganan bulanan lebih masuk akal kyknya utk customer 👎👎👎👎,1,negative
"Ini drivernya agak agak ya, penjemputan dr rumah sakit gk ada yang mau","ini drivernya agak agak ya, penjemputan dr rumah sakit gk ada yang mau",2,negative
skrng ga bisa rating resto kah? kok ga ada tempat rating makanan.,skrng ga bisa rating resto kah? kok ga ada tempat rating makanan.,4,positive
sangat buruk mengganggu,sangat buruk mengganggu,2,negative
Ga ada pinjaman.saldo gopay...ga da aktifitas...,ga ada pinjaman.saldo gopay...ga da aktifitas...,2,negative
terlalu mahal,terlalu mahal,2,negative
"hallo admin dari aplikasi kocak, bisa bisanya saya yang sudah sering buat berobat di puskesmas a dan terdaftar juga di sana, tiba tiba pas mau ambil lewat jaksetres malah di bilang belum terdaftar, padahal faktanya saya ke puskesmas tersebut karna sudah terdaftar menurut petugas sudah tinggal bawa KTP, trus giliran di puskesmas dibilang ""sudah terdaftar kok"", ini mimin bisa kasih tau pe petugas server yang lagi makan gaji buta itu, benerin servernya dan rawat yang bagus ya domainnya.","hallo admin dari aplikasi kocak, bisa bisanya saya yang sudah sering buat berobat di puskesmas a dan terdaftar juga di sana, tiba tiba pas mau ambil lewat jaksetres malah di bilang belum terdaftar, padahal faktanya saya ke puskesmas tersebut karna sudah terdaftar menurut petugas sudah tinggal bawa ktp, trus giliran di puskesmas dibilang ""sudah terdaftar kok"", ini mimin bisa kasih tau pe petugas server yang lagi makan gaji buta itu, benerin servernya dan rawat yang bagus ya domainnya.",1,negative
"Selasa habis update, masa kamis minta update lagi nih..","selasa habis update, masa kamis minta update lagi nih..",5,positive
"Cari driver buat nganterin makanan doang lama banget, ndak pecus","cari driver buat nganterin makanan doang lama banget, ndak pecus",1,negative
katanya gobusway sudah diluncurkan kok ga ada??,katanya gobusway sudah diluncurkan kok ga ada??,4,positive
tidak ada cs yg siap di telpun jslo ada mssalah,tidak ada cs yg siap di telpun jslo ada mssalah,2,negative
pesanan gocar ngk datang tapi saldo di potong,pesanan gocar ngk datang tapi saldo di potong,2,negative
Merasa nyaman aja pake gojeg ga tau ini itu dibanding aplikasi lain,merasa nyaman aja pake gojeg ga tau ini itu dibanding aplikasi lain,4,positive
saya pesen gofood lama sekali adanya fitur baru menunggu tolong developer gojek di usahankan agak cepat lagi,saya pesen gofood lama sekali adanya fitur baru menunggu tolong developer gojek di usahankan agak cepat lagi,2,negative
sangat membantu perjalanan,sangat membantu perjalanan,5,positive
Payah Go-food apaan nunggu 2 jam lebih di cancel gak bisa lawak hapus aja apk nya,payah go-food apaan nunggu 2 jam lebih di cancel gak bisa lawak hapus aja apk nya,4,positive
pelayan dapat drivernya cepat ongkos juga terjangkau palayan driver juga memuaskan semua terimakasih 🙏,pelayan dapat drivernya cepat ongkos juga terjangkau palayan driver juga memuaskan semua terimakasih 🙏,5,positive
Promo gofood untuk pembayaran tunainya gak banyak lagi,promo gofood untuk pembayaran tunainya gak banyak lagi,2,negative
Saya masuk akun kok tidak bisa ya tolong gmna ini,saya masuk akun kok tidak bisa ya tolong gmna ini,2,negative
pesanan tidak sesuai stok,pesanan tidak sesuai stok,2,negative
Keamanan Terlalu Ketat Jadi Kalau Punya Keluarga Besar Ini Pasti Tidak Cocok Mohon di Perbaikin Lagi..🙏🙏.,keamanan terlalu ketat jadi kalau punya keluarga besar ini pasti tidak cocok mohon di perbaikin lagi..🙏🙏.,2,negative
terlalu jauh mandapat driver,terlalu jauh mandapat driver,2,negative
Alhamdulillah terbantu dengan aplikasi gojek,alhamdulillah terbantu dengan aplikasi gojek,4,positive
jek jek.. cs aje lu belain driver lu matiin udah kaya drama di dpr aje lu... ga ngotak...,jek jek.. cs aje lu belain driver lu matiin udah kaya drama di dpr aje lu... ga ngotak...,1,negative
Gofood promonya makin sedikit. Bahkan gk ada lagi,gofood promonya makin sedikit. bahkan gk ada lagi,4,positive
"Ada yg sama ga di android, buka chatbox ga bisa?","ada yg sama ga di android, buka chatbox ga bisa?",2,negative
"Alangkah baiknya saat daftar akun gojek, bisa disertakan NIK/KTP supaya jelas dan tidak merugikan driver, supaya masalah orderan fiktif bisa terselesaikan dengan cara seperti itu, #mulaiajadulu","alangkah baiknya saat daftar akun gojek, bisa disertakan nik/ktp supaya jelas dan tidak merugikan driver, supaya masalah orderan fiktif bisa terselesaikan dengan cara seperti itu, #mulaiajadulu",4,positive
"Driver tidak sesuai pesanan, terlalu banyak minta lebih dari harga jalan nya","driver tidak sesuai pesanan, terlalu banyak minta lebih dari harga jalan nya",4,positive
"ngasih harga ongkir yang bener aja om, masa dari resto ke kost saya..ga sampe 2km dihitung 25ribu..ga ngotak banget","ngasih harga ongkir yang bener aja om, masa dari resto ke kost saya..ga sampe 2km dihitung 25ribu..ga ngotak banget",1,negative
susah dibuka,susah dibuka,1,negative
"Upaya login terlalu rumit, harus memasukan pin gopay dulu padahal belom pernah otak atik gopay.","upaya login terlalu rumit, harus memasukan pin gopay dulu padahal belom pernah otak atik gopay.",2,negative
"Recommended,","recommended,",4,positive
Berkali² nyoba payleter. Ngga ada kejelasan apa²!!! Survay survey tp gda kejelasan. Lol,berkali² nyoba payleter. ngga ada kejelasan apa²!!! survay survey tp gda kejelasan. lol,2,negative
"sebenerny udh males banget make nih aplikasi, gegara mesen selalu banyak bgt drama nya... yg kena cancel lah.. dikira kita sbg pengguna gak kejar²an sama waktu gitu ya, dh termasuk pengguna lama lho, tetep aja kyk gitu.. klo bisa ngerating driver yg ngebatalin, dh banyak tuh yg kena... perbaiki sistem nya","sebenerny udh males banget make nih aplikasi, gegara mesen selalu banyak bgt drama nya... yg kena cancel lah.. dikira kita sbg pengguna gak kejar²an sama waktu gitu ya, dh termasuk pengguna lama lho, tetep aja kyk gitu.. klo bisa ngerating driver yg ngebatalin, dh banyak tuh yg kena... perbaiki sistem nya",4,positive
"sangat senang, seru, dan menarik","sangat senang, seru, dan menarik",5,positive
"tolong bilang gojeknya atau gosend""TOLONG YANG RAMAH YA PAK""","tolong bilang gojeknya atau gosend""tolong yang ramah ya pak""",2,negative
"tolong ya sistem rute map nya dibaikin. ini udah sering banget terjadi sama saya. drivernya juga ngasi alasan ke saya kalo rute nya suka berubah ubah dan karena hal itu juga pada akhirnya driver nya malah muter² dan menyebabkan saya telat pergi ke kampus. udah gitu kadang nemu aja driver yang gatau jalan, bukannya mereka yang nyamperin saya malah saya yang nyamperin mereka. dan jujur itu ngebuat saya kesal, oklah kalo ga jauh dari titik tujuan, ini malah jauh jaraknya dari saya.","tolong ya sistem rute map nya dibaikin. ini udah sering banget terjadi sama saya. drivernya juga ngasi alasan ke saya kalo rute nya suka berubah ubah dan karena hal itu juga pada akhirnya driver nya malah muter² dan menyebabkan saya telat pergi ke kampus. udah gitu kadang nemu aja driver yang gatau jalan, bukannya mereka yang nyamperin saya malah saya yang nyamperin mereka. dan jujur itu ngebuat saya kesal, oklah kalo ga jauh dari titik tujuan, ini malah jauh jaraknya dari saya.",1,negative
"aplikasinya erorr terus alasanya internet mati mati, padahal kuota banyak sinyal bagus bagaimana mana ini min","aplikasinya erorr terus alasanya internet mati mati, padahal kuota banyak sinyal bagus bagaimana mana ini min",2,negative
"g bisa dipake. lagi buka aja notif nya ""yah internetnya mati"". sering banget. padahal ma buat sosmed an lancar lancar aja","g bisa dipake. lagi buka aja notif nya ""yah internetnya mati"". sering banget. padahal ma buat sosmed an lancar lancar aja",2,negative
"1. Ketika salah satu metode bayar gagal cek saldo, tombol utama yg muncul harusnya ganti metode bayar, bukan coba ulang. 2. tips jumlah custom tidak bisa lagi di versi ini","1. ketika salah satu metode bayar gagal cek saldo, tombol utama yg muncul harusnya ganti metode bayar, bukan coba ulang. 2. tips jumlah custom tidak bisa lagi di versi ini",4,positive
Lama amat topup masuknya,lama amat topup masuknya,4,positive
Sangat terbantu sekali dengan adanya aplikasi Gojek semua kebutuhan teratasi.terima kasih Gojek,sangat terbantu sekali dengan adanya aplikasi gojek semua kebutuhan teratasi.terima kasih gojek,5,positive
"perlahan2 customer mulai pindah ke shopeefood sebaiknya koreksi diri , kenapa bisa seperti itu","perlahan2 customer mulai pindah ke shopeefood sebaiknya koreksi diri , kenapa bisa seperti itu",1,negative
gapernah telat bayar gopay pinjam selalu ditolak apk gblk!,gapernah telat bayar gopay pinjam selalu ditolak apk gblk!,1,negative
sangat membantu,sangat membantu,5,positive
duit saya tiba tiba kesedot sama game GK jelas dan saya tidak pernah mainin game itu saya kecewa ilang ratus ribuan,duit saya tiba tiba kesedot sama game gk jelas dan saya tidak pernah mainin game itu saya kecewa ilang ratus ribuan,2,negative
"ui di gofood jadi ribet, ga praktis kalo mau cari makanan. customer service juga kurang membantu","ui di gofood jadi ribet, ga praktis kalo mau cari makanan. customer service juga kurang membantu",2,negative
Sangat efisien dalam pengantar dan penjemputan sangat baik,sangat efisien dalam pengantar dan penjemputan sangat baik,5,positive
mantap gofood,mantap gofood,5,positive
"Aplikasi jelek, saya mau ke pasar delapan alam sutera kec. serpong di google map tapi di map gojek alamatnya malah kec. cipondoh, saya jadi double pemesanannya, gua benci aplikasi ini. HARUSNYA NAMA DI GOOGLE MAP DENGAN NAMA DI MAP GOJEK SAMAKAN, SAMAKAN JUGA ALAMATNYA BODOH. TIDAK SEMUA ORANG YANG PAKAI APLIKASI INI BERASAL DARI TANGERANG ATAU JAKARTA","aplikasi jelek, saya mau ke pasar delapan alam sutera kec. serpong di google map tapi di map gojek alamatnya malah kec. cipondoh, saya jadi double pemesanannya, gua benci aplikasi ini. harusnya nama di google map dengan nama di map gojek samakan, samakan juga alamatnya bodoh. tidak semua orang yang pakai aplikasi ini berasal dari tangerang atau jakarta",1,negative
jajanan yg mantaaaapppp,jajanan yg mantaaaapppp,5,positive
"semuanya sudah bagus tapi ada 1 kendala, tolong gojek kalau ngasih driver tolong yang paling dekat dengan lokasi penjemputan .. kasian juga kan drivernya kalau jarak nya jauh,, soalnya saya sudah kena sanksi gara² ngebatalin driver yg lokasinya jauh dari rumah saya, itu juga memakan waktu saya, tolong diperbaiki lagi.. terima kasih","semuanya sudah bagus tapi ada 1 kendala, tolong gojek kalau ngasih driver tolong yang paling dekat dengan lokasi penjemputan .. kasian juga kan drivernya kalau jarak nya jauh,, soalnya saya sudah kena sanksi gara² ngebatalin driver yg lokasinya jauh dari rumah saya, itu juga memakan waktu saya, tolong diperbaiki lagi.. terima kasih",4,positive
- estimasi waktu pemesanan terlalu lama - tidak bisa chat penjual - bantuan cs gak berfungsi dengan baik - ribet,- estimasi waktu pemesanan terlalu lama - tidak bisa chat penjual - bantuan cs gak berfungsi dengan baik - ribet,2,negative
respon cepat,respon cepat,5,positive
"biaya penanganan dan pengiriman di gofood ga masuk akal, bisa nambah 100k+","biaya penanganan dan pengiriman di gofood ga masuk akal, bisa nambah 100k+",2,negative
pasti ada jalan,pasti ada jalan,5,positive
semoga semangkin disenangi masyarakat Indonesia,semoga semangkin disenangi masyarakat indonesia,5,positive
Makin lama makin mahal aja orkir gofood sudah pake voucher bulanan tetap aja mahal sebelumnya di batasi 30rb buat aktifkan voucher sekarang minimal naik 40rb 😑 beli gofood kayak di paksa beli banyak padahal beli gofood ya sebutuhnya aja,makin lama makin mahal aja orkir gofood sudah pake voucher bulanan tetap aja mahal sebelumnya di batasi 30rb buat aktifkan voucher sekarang minimal naik 40rb 😑 beli gofood kayak di paksa beli banyak padahal beli gofood ya sebutuhnya aja,1,negative
gojek sekarang pada susah dapet driver nya,gojek sekarang pada susah dapet driver nya,1,negative
tepat waktu dan Driver nya Ramah,tepat waktu dan driver nya ramah,5,positive
bagus banget,bagus banget,5,positive
aplikasi sampah! curangi makanan pesanan pelanggan,aplikasi sampah! curangi makanan pesanan pelanggan,1,negative
bisa mengantarkan sesuai tujuan degan aman dan tepat .,bisa mengantarkan sesuai tujuan degan aman dan tepat .,5,positive
Pakai go transit (comuter line) malah makin ribet,pakai go transit (comuter line) malah makin ribet,4,positive
Sukses Selalu Gojek🤲🙏,sukses selalu gojek🤲🙏,5,positive
Repot pembayaran kbm lewat gpay selalu gagal,repot pembayaran kbm lewat gpay selalu gagal,2,negative
bagus dan sangat membatu,bagus dan sangat membatu,5,positive
"saya sering kecewa sama driver gojek, enatah kenapa sering bngt d cancel. dan ga mau terima orderan, apa maunya mereka kalo tolak tolak orderan kalo udah kaya kenapa daftar d gojek. baru saja saya pesen gojek 10 kali ada d cancel. tolong d perbaiki lagi driver drivernya. biar jangan seenaknya. kalo ga mau trima orderan y mending ga usah daftar d gojek.","saya sering kecewa sama driver gojek, enatah kenapa sering bngt d cancel. dan ga mau terima orderan, apa maunya mereka kalo tolak tolak orderan kalo udah kaya kenapa daftar d gojek. baru saja saya pesen gojek 10 kali ada d cancel. tolong d perbaiki lagi driver drivernya. biar jangan seenaknya. kalo ga mau trima orderan y mending ga usah daftar d gojek.",2,negative
"Lebih baik di benahin deh :) Makin lama harusnya makin baik dan profesional. Ini ngga, knapa kalo mau beli makanan sulit bgt dpt driver, padahal cuaca ngga ujan, rumah juga ditengah kota. Merugikan bgt. Udah di acc resto tpi nunggu driver lama bgt bisa smpe 30 menit, akhirnya batal Kan buang* waktu, mana lagi laper.","lebih baik di benahin deh :) makin lama harusnya makin baik dan profesional. ini ngga, knapa kalo mau beli makanan sulit bgt dpt driver, padahal cuaca ngga ujan, rumah juga ditengah kota. merugikan bgt. udah di acc resto tpi nunggu driver lama bgt bisa smpe 30 menit, akhirnya batal kan buang* waktu, mana lagi laper.",2,negative
